SCH_TIME,CARRIER,DEP_TIME,DEST,DISTANCE,FL_NUM,ORIGIN,WEATHER,WK_DAY,MTH_DAY,FL_STATUS
1455,OH,1455,JFK,184,5935,BWI,0,4,1,ontime
1640,DH,1640,JFK,213,6155,DCA,0,4,1,ontime
1245,DH,1245,LGA,229,7208,IAD,0,4,1,ontime
1715,DH,1709,LGA,229,7215,IAD,0,4,1,ontime
1039,DH,1035,LGA,229,7792,IAD,0,4,1,ontime
840,DH,839,JFK,228,7800,IAD,0,4,1,ontime
1240,DH,1243,JFK,228,7806,IAD,0,4,1,ontime
1645,DH,1644,JFK,228,7810,IAD,0,4,1,ontime
1715,DH,1710,JFK,228,7812,IAD,0,4,1,ontime
2120,DH,2129,JFK,228,7814,IAD,0,4,1,ontime
2120,DH,2114,LGA,229,7924,IAD,0,4,1,ontime
1455,DL,1458,JFK,213,746,DCA,0,4,1,ontime
930,DL,932,LGA,214,1746,DCA,0,4,1,ontime
1230,DL,1228,LGA,214,1752,DCA,0,4,1,ontime
1430,DL,1429,LGA,214,1756,DCA,0,4,1,ontime
1730,DL,1728,LGA,214,1762,DCA,0,4,1,ontime
2030,DL,2029,LGA,214,1768,DCA,0,4,1,ontime
1530,MQ,1525,JFK,213,4752,DCA,0,4,1,ontime
600,MQ,556,JFK,213,4760,DCA,0,4,1,ontime
1830,MQ,1822,JFK,213,4784,DCA,0,4,1,ontime
900,MQ,853,LGA,214,4956,DCA,0,4,1,ontime
1300,MQ,1254,LGA,214,4964,DCA,0,4,1,ontime
1400,MQ,1356,LGA,214,4966,DCA,0,4,1,ontime
1500,MQ,1452,LGA,214,4968,DCA,0,4,1,ontime
1900,MQ,1853,LGA,214,4976,DCA,0,4,1,ontime
850,UA,841,LGA,229,846,IAD,0,4,1,ontime
900,US,858,LGA,214,2164,DCA,0,4,1,ontime
1100,US,1056,LGA,214,2168,DCA,0,4,1,ontime
1300,US,1253,LGA,214,2172,DCA,0,4,1,ontime
1500,US,1458,LGA,214,2176,DCA,0,4,1,ontime
1700,US,1655,LGA,214,2180,DCA,0,4,1,ontime
2100,US,2055,LGA,214,2188,DCA,0,4,1,ontime
1455,RU,1452,EWR,169,2403,BWI,0,4,1,ontime
1720,RU,1710,EWR,169,2675,BWI,0,4,1,ontime
1030,RU,1030,EWR,169,2303,BWI,0,4,1,ontime
700,RU,656,EWR,169,2703,BWI,0,4,1,ontime
1300,CO,1256,EWR,199,808,DCA,0,4,1,ontime
1730,CO,1726,EWR,199,814,DCA,0,4,1,ontime
840,DH,840,EWR,213,7299,IAD,0,4,1,ontime
1710,DH,1704,EWR,213,7302,IAD,0,4,1,ontime
1245,DH,1245,EWR,213,7303,IAD,0,4,1,ontime
2120,DH,2118,EWR,213,7304,IAD,0,4,1,ontime
1700,RU,1651,EWR,213,2497,IAD,0,4,1,ontime
1900,RU,1850,EWR,213,2385,IAD,0,4,1,ontime
1525,RU,1521,EWR,199,2261,DCA,0,4,1,ontime
1900,RU,1855,EWR,199,2336,DCA,0,4,1,ontime
1400,RU,1357,EWR,199,2216,DCA,0,4,1,ontime
1515,RU,1508,EWR,213,2156,IAD,0,4,1,ontime
1300,RU,1255,EWR,213,2664,IAD,0,4,1,ontime
1630,RU,1625,EWR,199,2181,DCA,0,4,1,ontime
1455,OH,1455,JFK,184,5935,BWI,0,5,2,ontime
1640,DH,1641,JFK,213,6155,DCA,0,5,2,ontime
1245,DH,1249,LGA,229,7208,IAD,0,5,2,ontime
1455,DH,1531,LGA,229,7211,IAD,0,5,2,delayed
1715,DH,1712,LGA,229,7215,IAD,0,5,2,ontime
640,DH,645,LGA,229,7790,IAD,0,5,2,ontime
1039,DH,1236,LGA,229,7792,IAD,0,5,2,delayed
840,DH,859,JFK,228,7800,IAD,0,5,2,ontime
1240,DH,1232,JFK,228,7806,IAD,0,5,2,ontime
1455,DH,1455,JFK,228,7808,IAD,0,5,2,ontime
1645,DH,1645,JFK,228,7810,IAD,0,5,2,ontime
1715,DH,1716,JFK,228,7812,IAD,0,5,2,ontime
2120,DH,2305,JFK,228,7814,IAD,0,5,2,delayed
1610,DH,1605,JFK,228,7816,IAD,0,5,2,ontime
2120,DH,2118,LGA,229,7924,IAD,0,5,2,ontime
1455,DL,1458,JFK,213,746,DCA,0,5,2,ontime
930,DL,930,LGA,214,1746,DCA,0,5,2,ontime
1230,DL,1230,LGA,214,1752,DCA,0,5,2,ontime
1430,DL,1427,LGA,214,1756,DCA,0,5,2,ontime
1730,DL,1730,LGA,214,1762,DCA,0,5,2,ontime
2030,DL,2028,LGA,214,1768,DCA,0,5,2,ontime
1530,MQ,1522,JFK,213,4752,DCA,0,5,2,ontime
600,MQ,552,JFK,213,4760,DCA,0,5,2,ontime
1830,MQ,1847,JFK,213,4784,DCA,0,5,2,ontime
900,MQ,852,LGA,214,4956,DCA,0,5,2,ontime
1100,MQ,1053,LGA,214,4960,DCA,0,5,2,ontime
1300,MQ,1258,LGA,214,4964,DCA,0,5,2,ontime
1400,MQ,1402,LGA,214,4966,DCA,0,5,2,ontime
1500,MQ,1456,LGA,214,4968,DCA,0,5,2,ontime
850,UA,850,LGA,229,846,IAD,0,5,2,ontime
700,US,657,LGA,214,2160,DCA,0,5,2,ontime
900,US,857,LGA,214,2164,DCA,0,5,2,ontime
1100,US,1058,LGA,214,2168,DCA,0,5,2,ontime
1300,US,1258,LGA,214,2172,DCA,0,5,2,ontime
1500,US,1458,LGA,214,2176,DCA,0,5,2,ontime
1700,US,1655,LGA,214,2180,DCA,0,5,2,ontime
1900,US,1855,LGA,214,2184,DCA,0,5,2,ontime
2100,US,2056,LGA,214,2188,DCA,0,5,2,ontime
1720,RU,1715,EWR,169,2675,BWI,0,5,2,ontime
1030,RU,1030,EWR,169,2303,BWI,0,5,2,ontime
700,RU,656,EWR,169,2703,BWI,0,5,2,ontime
1455,RU,1456,EWR,169,2403,BWI,0,5,2,ontime
1730,CO,1727,EWR,199,814,DCA,0,5,2,ontime
1300,CO,1301,EWR,199,808,DCA,0,5,2,ontime
759,CO,754,EWR,199,806,DCA,0,5,2,ontime
840,DH,837,EWR,213,7299,IAD,0,5,2,ontime
1245,DH,1350,EWR,213,7303,IAD,0,5,2,delayed
1430,DH,1512,EWR,213,7307,IAD,0,5,2,delayed
630,DH,629,EWR,213,7371,IAD,0,5,2,ontime
1630,RU,1625,EWR,199,2181,DCA,0,5,2,ontime
700,RU,655,EWR,213,2855,IAD,0,5,2,ontime
900,RU,858,EWR,199,2582,DCA,0,5,2,ontime
700,RU,657,EWR,199,2761,DCA,0,5,2,ontime
1700,RU,1650,EWR,213,2497,IAD,0,5,2,ontime
1900,RU,1856,EWR,213,2385,IAD,0,5,2,ontime
1300,RU,1253,EWR,213,2692,IAD,0,5,2,ontime
900,RU,854,EWR,213,3276,IAD,0,5,2,ontime
1900,RU,1858,EWR,199,2336,DCA,0,5,2,ontime
2100,RU,2050,EWR,199,2879,DCA,0,5,2,ontime
1400,RU,1358,EWR,199,2216,DCA,0,5,2,ontime
1515,RU,1510,EWR,213,2156,IAD,0,5,2,delayed
1525,RU,1519,EWR,199,2261,DCA,0,5,2,ontime
1245,DH,1243,LGA,229,7208,IAD,0,6,3,ontime
1715,DH,1738,LGA,229,7215,IAD,0,6,3,ontime
640,DH,640,LGA,229,7790,IAD,0,6,3,ontime
1039,DH,1030,LGA,229,7792,IAD,0,6,3,ontime
840,DH,855,JFK,228,7800,IAD,0,6,3,ontime
1240,DH,1237,JFK,228,7806,IAD,0,6,3,ontime
1455,DH,1455,JFK,228,7808,IAD,0,6,3,ontime
1645,DH,1654,JFK,228,7810,IAD,0,6,3,ontime
1715,DH,1741,JFK,228,7812,IAD,0,6,3,ontime
2120,DH,2213,JFK,228,7814,IAD,0,6,3,delayed
1610,DH,1604,JFK,228,7816,IAD,0,6,3,ontime
2120,DH,2138,LGA,229,7924,IAD,0,6,3,ontime
1455,DL,1505,JFK,213,746,DCA,0,6,3,delayed
830,DL,828,LGA,214,1744,DCA,0,6,3,ontime
1030,DL,1030,LGA,214,1748,DCA,0,6,3,ontime
1230,DL,1230,LGA,214,1752,DCA,0,6,3,ontime
1430,DL,1428,LGA,214,1756,DCA,0,6,3,ontime
1630,DL,1629,LGA,214,1760,DCA,0,6,3,ontime
1830,DL,1829,LGA,214,1764,DCA,0,6,3,ontime
2030,DL,2024,LGA,214,1768,DCA,0,6,3,ontime
1530,MQ,1600,JFK,213,4752,DCA,0,6,3,delayed
600,MQ,555,JFK,213,4760,DCA,0,6,3,ontime
1830,MQ,1829,JFK,213,4784,DCA,0,6,3,ontime
900,MQ,855,LGA,214,4956,DCA,0,6,3,ontime
1300,MQ,1254,LGA,214,4964,DCA,0,6,3,ontime
850,UA,849,LGA,229,846,IAD,0,6,3,ontime
700,US,655,LGA,214,2160,DCA,0,6,3,ontime
900,US,858,LGA,214,2164,DCA,0,6,3,ontime
1100,US,1059,LGA,214,2168,DCA,0,6,3,ontime
1300,US,1256,LGA,214,2172,DCA,0,6,3,ontime
1500,US,1500,LGA,214,2176,DCA,0,6,3,ontime
1700,US,1658,LGA,214,2180,DCA,0,6,3,ontime
1900,US,1857,LGA,214,2184,DCA,0,6,3,ontime
1720,RU,1714,EWR,169,2675,BWI,0,6,3,ontime
700,RU,655,EWR,169,2703,BWI,0,6,3,ontime
1030,RU,1026,EWR,169,2303,BWI,0,6,3,ontime
1455,RU,1448,EWR,169,2267,BWI,0,6,3,ontime
1300,CO,1255,EWR,199,808,DCA,0,6,3,ontime
840,DH,857,EWR,213,7299,IAD,0,6,3,delayed
1710,DH,1705,EWR,213,7302,IAD,0,6,3,ontime
1245,DH,1329,EWR,213,7303,IAD,0,6,3,delayed
2120,DH,2126,EWR,213,7304,IAD,0,6,3,ontime
630,DH,625,EWR,213,7371,IAD,0,6,3,ontime
1725,RU,1722,EWR,213,2497,IAD,0,6,3,ontime
1400,RU,1356,EWR,199,2216,DCA,0,6,3,ontime
700,RU,658,EWR,213,2855,IAD,0,6,3,ontime
930,RU,941,EWR,199,2582,DCA,0,6,3,ontime
1730,RU,1738,EWR,199,2097,DCA,0,6,3,ontime
1600,RU,1556,EWR,199,2181,DCA,0,6,3,ontime
1515,RU,1511,EWR,213,2156,IAD,0,6,3,ontime
700,RU,703,EWR,199,2761,DCA,0,6,3,ontime
1455,OH,1605,JFK,184,5935,BWI,0,7,4,delayed
1640,DH,1644,JFK,213,6155,DCA,0,7,4,ontime
1245,DH,1249,LGA,229,7208,IAD,0,7,4,ontime
1455,DH,1535,LGA,229,7211,IAD,0,7,4,delayed
1715,DH,1837,LGA,229,7215,IAD,0,7,4,delayed
640,DH,640,LGA,229,7790,IAD,0,7,4,ontime
1039,DH,1032,LGA,229,7792,IAD,0,7,4,ontime
840,DH,900,JFK,228,7800,IAD,0,7,4,ontime
1240,DH,1243,JFK,228,7806,IAD,0,7,4,ontime
1455,DH,1504,JFK,228,7808,IAD,0,7,4,ontime
1645,DH,1642,JFK,228,7810,IAD,0,7,4,ontime
1715,DH,1709,JFK,228,7812,IAD,0,7,4,ontime
2120,DH,2120,JFK,228,7814,IAD,0,7,4,ontime
1610,DH,1607,JFK,228,7816,IAD,0,7,4,ontime
2120,DH,2116,LGA,229,7924,IAD,0,7,4,ontime
1455,DL,1500,JFK,213,746,DCA,0,7,4,ontime
830,DL,828,LGA,214,1744,DCA,0,7,4,ontime
1030,DL,1028,LGA,214,1748,DCA,0,7,4,ontime
1230,DL,1230,LGA,214,1752,DCA,0,7,4,ontime
1430,DL,1432,LGA,214,1756,DCA,0,7,4,ontime
1630,DL,1629,LGA,214,1760,DCA,0,7,4,ontime
1830,DL,1832,LGA,214,1764,DCA,0,7,4,ontime
2030,DL,2030,LGA,214,1768,DCA,0,7,4,ontime
1530,MQ,1534,JFK,213,4752,DCA,0,7,4,delayed
600,MQ,554,JFK,213,4760,DCA,0,7,4,ontime
730,MQ,745,JFK,213,4771,DCA,0,7,4,ontime
1830,MQ,1858,JFK,213,4784,DCA,0,7,4,delayed
1300,MQ,1257,LGA,214,4964,DCA,0,7,4,ontime
1500,MQ,1458,LGA,214,4968,DCA,0,7,4,delayed
1700,MQ,1659,LGA,214,4972,DCA,0,7,4,ontime
1900,MQ,1936,LGA,214,4976,DCA,0,7,4,delayed
850,UA,849,LGA,229,846,IAD,0,7,4,ontime
900,US,858,LGA,214,2164,DCA,0,7,4,ontime
1000,US,954,LGA,214,2166,DCA,0,7,4,ontime
1100,US,1055,LGA,214,2168,DCA,0,7,4,ontime
1200,US,1158,LGA,214,2170,DCA,0,7,4,ontime
1300,US,1257,LGA,214,2172,DCA,0,7,4,ontime
1400,US,1359,LGA,214,2174,DCA,0,7,4,ontime
1500,US,1456,LGA,214,2176,DCA,0,7,4,ontime
1600,US,1559,LGA,214,2178,DCA,0,7,4,ontime
1700,US,1658,LGA,214,2180,DCA,0,7,4,ontime
1800,US,1758,LGA,214,2182,DCA,0,7,4,ontime
1900,US,1857,LGA,214,2184,DCA,0,7,4,ontime
2000,US,1957,LGA,214,2186,DCA,0,7,4,ontime
2100,US,2059,LGA,214,2188,DCA,0,7,4,ontime
1455,RU,1615,EWR,169,2403,BWI,0,7,4,delayed
1315,RU,1416,EWR,169,2703,BWI,0,7,4,delayed
1605,RU,2030,EWR,169,2603,BWI,0,7,4,delayed
1030,RU,1235,EWR,169,2303,BWI,0,7,4,delayed
1300,CO,1255,EWR,199,808,DCA,0,7,4,ontime
1630,CO,1833,EWR,199,810,DCA,0,7,4,delayed
840,DH,857,EWR,213,7299,IAD,0,7,4,ontime
1710,DH,1917,EWR,213,7302,IAD,0,7,4,delayed
1245,DH,1310,EWR,213,7303,IAD,0,7,4,delayed
2120,DH,2221,EWR,213,7304,IAD,0,7,4,delayed
1430,DH,1600,EWR,213,7307,IAD,0,7,4,delayed
1730,RU,1952,EWR,199,2097,DCA,0,7,4,delayed
930,RU,927,EWR,199,2582,DCA,0,7,4,ontime
900,RU,858,EWR,213,3276,IAD,0,7,4,ontime
1900,RU,2110,EWR,213,2385,IAD,0,7,4,delayed
1400,RU,1356,EWR,199,2216,DCA,0,7,4,delayed
1900,RU,2120,EWR,199,2336,DCA,0,7,4,delayed
1515,RU,1557,EWR,213,2156,IAD,0,7,4,delayed
1455,OH,1610,JFK,184,5935,BWI,0,1,5,delayed
1640,DH,1638,JFK,213,6155,DCA,0,1,5,delayed
1245,DH,1338,LGA,229,7208,IAD,0,1,5,delayed
1455,DH,1606,LGA,229,7211,IAD,0,1,5,delayed
1715,DH,1848,LGA,229,7215,IAD,0,1,5,delayed
640,DH,633,LGA,229,7790,IAD,0,1,5,delayed
1039,DH,1054,LGA,229,7792,IAD,0,1,5,ontime
840,DH,946,JFK,228,7800,IAD,0,1,5,delayed
1240,DH,1312,JFK,228,7806,IAD,0,1,5,delayed
1645,DH,1700,JFK,228,7810,IAD,0,1,5,ontime
1715,DH,1709,JFK,228,7812,IAD,0,1,5,ontime
2120,DH,2200,JFK,228,7814,IAD,0,1,5,delayed
1610,DH,1651,JFK,228,7816,IAD,0,1,5,delayed
2120,DH,2125,LGA,229,7924,IAD,0,1,5,ontime
1455,DL,1459,JFK,213,746,DCA,0,1,5,ontime
630,DL,630,LGA,214,1740,DCA,0,1,5,ontime
730,DL,734,LGA,214,1742,DCA,0,1,5,ontime
830,DL,830,LGA,214,1744,DCA,0,1,5,ontime
930,DL,932,LGA,214,1746,DCA,0,1,5,ontime
1030,DL,1031,LGA,214,1748,DCA,0,1,5,ontime
1130,DL,1128,LGA,214,1750,DCA,0,1,5,ontime
1230,DL,1230,LGA,214,1752,DCA,0,1,5,ontime
1330,DL,1329,LGA,214,1754,DCA,0,1,5,ontime
1430,DL,1427,LGA,214,1756,DCA,0,1,5,ontime
1630,DL,1635,LGA,214,1760,DCA,0,1,5,ontime
1730,DL,1730,LGA,214,1762,DCA,0,1,5,ontime
1830,DL,1829,LGA,214,1764,DCA,0,1,5,ontime
1930,DL,1955,LGA,214,1766,DCA,0,1,5,delayed
2030,DL,2028,LGA,214,1768,DCA,0,1,5,ontime
1530,MQ,1538,JFK,213,4752,DCA,0,1,5,ontime
600,MQ,557,JFK,213,4760,DCA,0,1,5,ontime
700,MQ,656,LGA,214,4952,DCA,0,1,5,ontime
800,MQ,758,LGA,214,4954,DCA,0,1,5,ontime
900,MQ,859,LGA,214,4956,DCA,0,1,5,ontime
1100,MQ,1103,LGA,214,4960,DCA,0,1,5,ontime
1300,MQ,1250,LGA,214,4964,DCA,0,1,5,ontime
1600,MQ,1627,LGA,214,4970,DCA,0,1,5,delayed
1700,MQ,1702,LGA,214,4972,DCA,0,1,5,ontime
1900,MQ,1949,LGA,214,4976,DCA,0,1,5,delayed
850,UA,848,LGA,229,846,IAD,0,1,5,ontime
630,US,627,LGA,214,1479,DCA,0,1,5,delayed
700,US,657,LGA,214,2160,DCA,0,1,5,ontime
800,US,757,LGA,214,2162,DCA,0,1,5,ontime
900,US,900,LGA,214,2164,DCA,0,1,5,ontime
1000,US,958,LGA,214,2166,DCA,0,1,5,ontime
1100,US,1057,LGA,214,2168,DCA,0,1,5,ontime
1200,US,1155,LGA,214,2170,DCA,0,1,5,ontime
1300,US,1257,LGA,214,2172,DCA,0,1,5,ontime
1400,US,1358,LGA,214,2174,DCA,0,1,5,ontime
1500,US,1500,LGA,214,2176,DCA,0,1,5,ontime
1600,US,1601,LGA,214,2178,DCA,0,1,5,ontime
1700,US,1657,LGA,214,2180,DCA,0,1,5,ontime
1800,US,1757,LGA,214,2182,DCA,0,1,5,ontime
1900,US,1857,LGA,214,2184,DCA,0,1,5,ontime
2000,US,1959,LGA,214,2186,DCA,0,1,5,ontime
2100,US,2100,LGA,214,2188,DCA,0,1,5,ontime
700,RU,744,EWR,169,2703,BWI,0,1,5,delayed
1455,RU,1527,EWR,169,2403,BWI,0,1,5,delayed
1030,RU,1221,EWR,169,2303,BWI,0,1,5,delayed
1300,CO,1324,EWR,199,808,DCA,0,1,5,delayed
759,CO,757,EWR,199,806,DCA,0,1,5,ontime
1730,CO,1846,EWR,199,814,DCA,0,1,5,delayed
840,DH,844,EWR,213,7299,IAD,0,1,5,ontime
1710,DH,1920,EWR,213,7302,IAD,0,1,5,delayed
1245,DH,1357,EWR,213,7303,IAD,0,1,5,delayed
2120,DH,2312,EWR,213,7304,IAD,0,1,5,delayed
1430,DH,1536,EWR,213,7307,IAD,0,1,5,delayed
630,DH,624,EWR,213,7371,IAD,0,1,5,ontime
700,RU,700,EWR,199,2761,DCA,0,1,5,ontime
900,RU,1056,EWR,199,2582,DCA,0,1,5,delayed
1300,RU,1321,EWR,213,2692,IAD,0,1,5,delayed
2100,RU,2105,EWR,199,2879,DCA,0,1,5,ontime
700,RU,655,EWR,213,2855,IAD,0,1,5,ontime
1400,RU,1454,EWR,199,2216,DCA,0,1,5,delayed
1900,RU,2104,EWR,199,2336,DCA,0,1,5,delayed
1515,RU,1602,EWR,213,2156,IAD,0,1,5,delayed
900,RU,855,EWR,213,3276,IAD,0,1,5,ontime
1525,RU,1617,EWR,199,2261,DCA,0,1,5,delayed
1455,OH,1455,JFK,184,5935,BWI,0,2,6,ontime
1245,DH,1240,LGA,229,7208,IAD,0,2,6,ontime
1455,DH,1451,LGA,229,7211,IAD,0,2,6,ontime
1715,DH,1752,LGA,229,7215,IAD,0,2,6,ontime
640,DH,635,LGA,229,7790,IAD,0,2,6,ontime
1039,DH,1034,LGA,229,7792,IAD,0,2,6,ontime
840,DH,855,JFK,228,7800,IAD,0,2,6,ontime
1240,DH,1237,JFK,228,7806,IAD,0,2,6,ontime
1455,DH,1453,JFK,228,7808,IAD,0,2,6,ontime
1645,DH,1641,JFK,228,7810,IAD,0,2,6,ontime
1715,DH,1756,JFK,228,7812,IAD,0,2,6,delayed
2120,DH,2153,JFK,228,7814,IAD,0,2,6,delayed
1610,DH,1607,JFK,228,7816,IAD,0,2,6,ontime
2120,DH,2118,LGA,229,7924,IAD,0,2,6,ontime
1455,DL,1457,JFK,213,746,DCA,0,2,6,ontime
630,DL,629,LGA,214,1740,DCA,0,2,6,ontime
730,DL,728,LGA,214,1742,DCA,0,2,6,ontime
830,DL,829,LGA,214,1744,DCA,0,2,6,ontime
930,DL,930,LGA,214,1746,DCA,0,2,6,ontime
1030,DL,1030,LGA,214,1748,DCA,0,2,6,ontime
1130,DL,1130,LGA,214,1750,DCA,0,2,6,ontime
1230,DL,1230,LGA,214,1752,DCA,0,2,6,ontime
1330,DL,1327,LGA,214,1754,DCA,0,2,6,ontime
1430,DL,1428,LGA,214,1756,DCA,0,2,6,ontime
1530,DL,1529,LGA,214,1758,DCA,0,2,6,ontime
1630,DL,1629,LGA,214,1760,DCA,0,2,6,ontime
1730,DL,1728,LGA,214,1762,DCA,0,2,6,ontime
1830,DL,1830,LGA,214,1764,DCA,0,2,6,ontime
1930,DL,1929,LGA,214,1766,DCA,0,2,6,ontime
2030,DL,2031,LGA,214,1768,DCA,0,2,6,ontime
1530,MQ,1548,JFK,213,4752,DCA,0,2,6,ontime
600,MQ,558,JFK,213,4760,DCA,0,2,6,ontime
1830,MQ,1843,JFK,213,4784,DCA,0,2,6,ontime
700,MQ,655,LGA,214,4952,DCA,0,2,6,ontime
800,MQ,817,LGA,214,4954,DCA,0,2,6,ontime
900,MQ,852,LGA,214,4956,DCA,0,2,6,ontime
1100,MQ,1100,LGA,214,4960,DCA,0,2,6,ontime
1300,MQ,1313,LGA,214,4964,DCA,0,2,6,ontime
1400,MQ,1355,LGA,214,4966,DCA,0,2,6,ontime
1500,MQ,1535,LGA,214,4968,DCA,0,2,6,delayed
1600,MQ,1555,LGA,214,4970,DCA,0,2,6,ontime
1700,MQ,1654,LGA,214,4972,DCA,0,2,6,ontime
1900,MQ,1904,LGA,214,4976,DCA,0,2,6,ontime
850,UA,850,LGA,229,846,IAD,0,2,6,ontime
630,US,629,LGA,214,1479,DCA,0,2,6,ontime
700,US,657,LGA,214,2160,DCA,0,2,6,ontime
800,US,758,LGA,214,2162,DCA,0,2,6,ontime
900,US,858,LGA,214,2164,DCA,0,2,6,ontime
1000,US,1000,LGA,214,2166,DCA,0,2,6,ontime
1100,US,1056,LGA,214,2168,DCA,0,2,6,ontime
1200,US,1158,LGA,214,2170,DCA,0,2,6,ontime
1300,US,1259,LGA,214,2172,DCA,0,2,6,ontime
1400,US,1357,LGA,214,2174,DCA,0,2,6,ontime
1500,US,1458,LGA,214,2176,DCA,0,2,6,ontime
1600,US,1557,LGA,214,2178,DCA,0,2,6,ontime
1700,US,1657,LGA,214,2180,DCA,0,2,6,ontime
1800,US,1758,LGA,214,2182,DCA,0,2,6,ontime
1900,US,1855,LGA,214,2184,DCA,0,2,6,ontime
2000,US,1958,LGA,214,2186,DCA,0,2,6,ontime
2100,US,2104,LGA,214,2188,DCA,0,2,6,ontime
1455,RU,1451,EWR,169,2403,BWI,0,2,6,ontime
1720,RU,1729,EWR,169,3372,BWI,0,2,6,delayed
700,RU,658,EWR,169,2703,BWI,0,2,6,ontime
1030,RU,1037,EWR,169,2303,BWI,0,2,6,ontime
1730,CO,1740,EWR,199,814,DCA,0,2,6,delayed
1300,CO,1256,EWR,199,808,DCA,0,2,6,ontime
1900,CO,1856,EWR,199,816,DCA,0,2,6,delayed
